"('Участники', 'std')","('Участники', 'count')","('Участники', 'median')","('Ставки', 'std')","('Ставки', 'count')","('Ставки', 'median')","('НМЦК', 'std')","('НМЦК', 'count')","('НМЦК', 'median')",ИНН
2.560755994695281,30,2.5,23.964749016050614,30,3.0,12947.693604998025,30,8210.0,003ed67871a38d34e66f385d5964fa25
3.6670433770116526,215,3.0,40.68595007324164,215,24.0,262564.9300546761,215,56828.86,005c681658736209e9d25dde33388063
2.736014482588341,38,3.5,38.62045868840746,38,18.5,41737.04309934435,38,27520.2,005eef3afb99c8c0816da78497e36db4
,1,0.0,,1,0.0,,1,53075.0,006184d40e72e2d047ffe9837162656c
2.296704987840099,19,3.0,27.876398032232604,19,25.0,54335.77606326581,19,27634.03,00790e13449b7e81acd7dcd526aa80a9
1.9594095320493148,8,1.5,18.599155126740875,8,2.0,112423.49660282585,8,103680.0,008074d5032efe77016b0199d9d0fd42
3.337730165237389,71,3.0,36.129601278331144,71,17.0,166166.29436524134,71,59700.0,009730b061806c99d239fd5707a3c1d3
3.3064133356260084,121,3.0,39.09261271833856,121,18.0,132279.52874372533,121,44033.04,009e9fa5fbf4e5f18a58148d1bf73f07
3.3123146848432996,15,3.0,37.64280744552606,15,29.0,38452.37472906293,15,28006.5,00a40902ad64dc6d9677b7c276b9f00b
,1,3.0,,1,47.0,,1,162867.0,00ce2c0e0996cf8d5485af17348e54d4
2.180424660629271,49,2.0,35.95381580233591,49,3.0,68388.9878203412,49,10720.0,00eb61cb535570f5da33ebe6ae8588f1
3.4740416688982565,87,4.0,43.501811973924745,87,38.0,64660.43224042504,87,21000.0,01295d04800bf0d9f84f8e60814c90c0
4.008213561010445,140,3.0,41.00273472442793,140,26.5,196267.39396636136,140,162798.0,014e7e520637d553ecf5713ea3978d1f
2.7623729590841575,64,2.5,33.201166550551505,64,20.0,134139.15460014573,64,76636.5,0162258559b363bfdba23e74a1b15432
5.017393987344668,12,2.0,44.205014798474316,12,11.0,44417.65900790674,12,30567.5,0172c0618e0653d0f0ed0fe482bfc30b
0.5773502691896258,3,1.0,0.5773502691896258,3,1.0,10501.357451936075,3,16000.0,0183dedf94e7f120f79f9b96bc9c8f8e
3.1800850895016297,51,3.0,35.2819344985615,51,17.0,125963.53470690039,51,25070.0,01840f4675d959fb837f75a7bc0d2c43
2.4851761766383533,54,2.0,24.43685798036402,54,2.0,165845.60251497373,54,80484.0,0194951d6413d21bfbd6d186a2822805
1.266837814710505,41,1.0,22.628548771677675,41,1.0,98149.59693894438,41,17362.33,01b4a07bab9fdaec796ce3d91e8cae8d
3.149512863860196,211,3.0,36.005716214099586,211,23.0,157508.50774525283,211,78400.0,01b955a127c5e8e2116ffbba0d95e175
1.7728105208558367,7,4.0,32.77920362785208,7,62.0,234164.0358273861,7,59997.5,01c2bcb6a8b2a788e76c17a81c85d29c
1.51657508881031,5,2.0,20.501219475923868,5,2.0,17731.288297472354,5,28545.0,01c7df86ac200862a97205b7af036202
4.0688381079107945,32,6.0,36.2355644227085,32,29.0,163171.21598052277,32,33983.0,01c8f62e3fe6fd8d65b414c643a267d7
2.0,25,2.0,30.717801570641953,25,19.0,119493.27561378562,25,26171.32,01de29410e3fea6b2dfc429c6be02e8d
2.5203566815428724,105,2.0,28.40904127867793,105,8.0,286823.9143442822,105,73800.0,01f8c797fb93e93267ce39232e867938
2.3262363726362074,28,1.0,26.202987632072812,28,1.0,25018.814482831964,28,13390.9,01fdde67eec564b285c4c11327250e81
1.2440333788202984,21,1.0,16.847777866757948,21,1.0,16527.463457363596,21,12500.0,01febae24b020c47e8e7cd4f0adc5a0a
3.241074854125659,73,4.0,33.289085929312215,73,16.0,143903.05719244812,73,27500.0,020124dc2c101573d4596a5de52f56af
2.1560363883296167,48,1.0,26.199918453124134,48,1.0,51288.02732384839,48,9710.0,0213096864a3ee1db1ef7247827d9414
3.351934533411872,129,3.0,39.03810439764258,129,13.0,163981.2913471514,129,24000.0,02156e11f2abd712b14416d867404527
2.763969777304287,63,2.0,30.629000778413843,63,4.0,80418.58784213863,63,12219.86,02199d8ca014cd61375a0d6693db5906
2.660005686479042,35,3.0,34.795996099232674,35,14.0,109099.24808963492,35,34838.55,021f4f0c406c1c09fc5479a473df6265
3.2568144773570094,94,2.0,38.08649651927554,94,5.0,170313.55456136764,94,47617.5,022ae5825f02d0342ca897c38cc3cbfc
1.6072751268321592,25,2.0,29.157617643879394,25,3.0,58776.67066959638,25,26941.56,022ca52eeecf671b127b0c4f8a34ad91
3.120467727854225,24,4.5,33.71403075227312,24,26.5,41089.85425980968,24,9850.375,02345be91c510f7f6efec6febec70f27
4.033946860424326,33,4.0,36.63541195470456,33,32.0,106119.91717067524,33,42260.8,0242a22488866921c837a55c0f79512d
2.2509257354845507,10,2.5,15.809982781633748,10,9.0,34769.03714291969,10,32789.43,0259f13aed1e04fe49b5711f0094fb5f
4.141398684443679,220,4.0,41.25303264447508,220,26.5,140453.12864779716,220,49321.18,025a9a327d9b5a4f18830736c9020dfe
0.8254203058555569,14,1.5,8.445364161726587,14,2.0,15368.148934107532,14,10997.5,026f8dbbf2de17674bba8215d12f7940
3.2040352322936116,127,2.0,34.747231238476495,127,6.0,120471.31656430625,127,29990.0,028ace694f72813c0cdc59d4fcb328ba
1.9041033995289125,41,1.0,26.895733635743763,41,1.0,181790.35182688484,41,100000.0,029e4db11ff2f9bf843a495c476592e9
2.716790823923031,15,3.0,34.00042016547106,15,20.0,48717.63575978106,15,52425.0,02b96b15b6661a376abe7518d3c14a13
1.855921454276674,9,4.0,31.54362059117501,9,27.0,1162374.337129068,9,322320.0,02d678bf0fc79820dae5f84195b53fbb
0.7071067811865476,2,0.5,0.7071067811865476,2,0.5,0.0,2,68069.4,02e648c00a265d74c444c6e022ee3ffd
2.5483882227596357,244,2.0,32.858961136832015,244,5.5,871128.0506388835,244,322477.55,02f214ce72c174b40616b9718e224ec6
2.8349668493717948,27,3.0,24.913068230568644,27,4.0,218816.0219834233,27,188832.67,02f30d144d4acde8d16ad63c9cf337fe
1.670471846657761,21,3.0,25.800978202201488,21,4.0,226197.11770429034,21,364842.0,03158b7dd4d1259be7d808e38e7a5e2c
3.497065913851798,102,3.0,45.41088756001742,102,23.0,361446.9770753547,102,67000.0,0333751444a0a827cf33c6147a55df6d
0.0,2,1.0,0.0,2,1.0,11759.185771132285,2,63155.0,0361bec6366d02993f787d707411c542
1.555050423035156,11,3.0,25.866440173953727,11,7.0,216182.9928303406,11,170900.0,03628af1cf8581b3609b3186f5cc085b
2.442055765873573,11,1.0,32.04797540052612,11,1.0,42991.5222245079,11,4560.3,0368897d07bc11cb8dbebc34b445319c
2.7971728270122713,14,2.0,37.28012462838197,14,7.5,66912.98262004578,14,49605.0,03ab161b7e4b31757300a32e30f3ee59
