,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
0,01.02.06.01.03,17.12.77.110
1,01.02.06.01.05,13.20.44.120
2,01.02.06.01.07,20.59.52.120
3,01.02.06.03.02.02.01,20.59.52.199
4,01.02.06.03.02.04,20.59.52.199
5,01.02.06.03.02.04.02,20.59.52.199
6,01.02.06.03.02.06,20.59.52.199
7,01.02.06.03.02.10,20.59.52.199
8,01.02.06.03.03,20.59.52.199
9,01.02.06.03.11,20.59.52.192
10,01.02.06.04.03,32.50.13.190
11,01.02.06.04.10,32.50.13.190
12,01.02.07.01.04,23.19.23.110
13,01.02.09.01.09,21.20.10.118
14,01.02.09.01.13,21.20.10.122
15,01.02.09.03.07,21.20.10.146
16,01.02.09.04.04,21.20.10.154
17,01.02.09.07.07,21.20.21.129
18,01.02.09.08.02,21.20.10.212
19,01.02.09.09.05,21.20.10.227
20,01.02.09.12.01,21.20.10.251
21,01.02.09.13.03.01,21.20.10.263
22,01.02.09.14.09,21.20.23.113
23,01.02.09.14.99.03,21.20.23.192
24,01.03.01.00,26.30.50.123
25,01.03.02,26.30.50.114
26,01.03.02.11,27.90.20.120
27,01.03.03.01,26.40.33.110
28,01.03.05.04,26.51.66.129
29,01.04.01.13.03,13.94.12.190
30,01.16.15,31.09.12.129
31,01.16.27,31.01.12.190
32,01.04.01.99,25.73.30.299
33,01.04.03.02,30.91.13.110
34,01.04.03.04.01,30.11.31.190
35,01.04.04.02,26.51.66.140
36,01.04.05,28.99.39
37,01.06.01.02,31.01.12.129
38,01.06.02,32.99.53.130
39,01.06.02.01.04,32.99.53.130
40,01.06.04,32.99.53.130
41,01.07.03.01,32.20.11
42,01.07.03.01.03.03,32.20.12.113
43,01.07.03.02.01,32.20.13.160
44,01.07.03.02.05.02,32.20.13.177
45,01.07.03.03.04.06,32.20.15.110
46,01.07.04,32.99.5
47,01.07.04.01.06,26.40.31.110
48,01.07.04.02.01,26.70.16.110
49,01.07.04.02.03,26.70.16.110
50,01.07.05.01,20.30.23.110
51,01.07.06.01.09,32.20.20.110
52,01.01.01.02.01.08,10.61.23.000
53,01.01.01.02.03.01,10.62.11.110
54,01.01.01.05,10.81
55,01.01.01.05.01,10.81.1
56,01.07.06.02.01,26.70.19.000
57,01.07.06.02.03,26.70.19.000
58,01.07.06.04.01,28.29.60.000
59,01.07.07.04,20.59.52.199
60,01.07.09.03,32.40.42.130
61,01.07.11.03.01,13.92.16.119
62,01.08.01.01.01,32.30.14.121
63,01.08.01.01.05,32.30.15.299
64,01.08.01.01.09,32.30.15.299
65,01.08.01.01.10,32.30.15.299
66,01.08.01.07,32.30.11.130
67,01.08.01.19,32.30.11.129
68,01.08.01.21,32.30.15.110
69,01.08.02.22,32.30.15.299
70,01.08.02.23,32.30.15.120
71,01.08.02.25,32.30.15.160
72,01.01.01.07,01.49.21.110
73,01.01.01.12.01.01,10.41.54.000
74,01.01.02.18,01.13.39.130
75,01.01.02.19,01.13.19.000
76,01.01.02.23,01.11.62.000
77,01.01.02.27,01.26.11.000
78,01.01.02.30,10.39.12.000
79,01.01.03.10,01.22.19.000
80,01.01.03.11,01.13.29.000
81,01.08.02.31,32.30.15.299
82,01.08.02.37,32.40.42.191
83,01.09.01.06,30.91.1
84,01.09.01.10,29.10.30.120
85,01.10,27.40
86,01.10.02.03,20.59.43.120
87,01.10.05.01.01,27.40.33
88,01.10.05.01.07,27.40.33
89,01.10.05.02.01,27.40.14.000
90,01.01.06.05,10.72.11.120
91,01.01.06.99,10.71.11.110
92,01.01.07.01,10.82.22.139
93,01.01.07.02.05,10.82.22.111
94,01.01.07.03,10.72.12
95,01.01.07.05.02,10.71.12.110
96,01.10.05.02.03,27.40.15.110
97,01.10.05.03,27.40.25.120
98,01.10.05.03.02.03,27.40.33
99,01.11.01.01.02,28.25.20.190
100,01.11.01.02.05,20.59.41.000
101,01.11.01.03.11.01,26.51.70.110
102,01.11.01.03.11.02,25.30.12.119
103,01.11.01.03.11.99,25.30.13.000
104,01.11.01.06.01,26.51.64.190
105,01.11.01.06.03,26.51.64.190
106,01.11.01.08,27.12
107,01.01.07.12,10.82.23.150
108,01.01.08.01.04,10.11.32.110
109,01.01.08.01.08,10.11.39.190
110,01.01.08.02.03,10.11.20
111,01.01.08.03.01,10.13.14.110
112,01.01.08.03.02,10.13.14.700
113,01.01.09.01,01.47.21
114,01.01.09.02,01.47.22.190
115,01.01.10.01.05,10.51.22.110
116,01.01.10.03.03,10.51.56.151
117,01.01.10.05.06,10.51.52.111
118,01.11.02.01.03,25.73.30.299
119,01.11.02.01.10,25.73.20.110
120,01.11.02.01.99,25.73.3
121,01.11.02.02.01,25.73.30
122,01.11.02.02.99,25.73.30
123,01.11.02.05.03,27.90.31.110
124,01.11.02.09,25.73.40.290
125,01.01.12.07,10.20.31.110
126,01.01.13,10.86.10
127,01.01.15.08.07,11.05.10
128,01.11.03.01.03.02,25.93.13.112
129,01.11.03.04.03,08.12.11.130
130,01.11.03.05.01,20.30.12.120
131,01.11.03.05.09,20.30.22.130
132,01.11.03.09,20.59.59.900
133,01.11.03.11.01,17.24.11.110
134,01.11.03.11.04,17.24.11.110
135,01.11.03.12.05.03,23.31.10.122
136,01.11.04.03.01,27.32.13.150
137,01.11.04.04,13.94.12.190
138,01.11.05.06,22.23.1
139,01.11.06.01.03,22.21.21
140,01.11.06.04,28.14.12.110
141,01.11.08.02,16.21.14.000
142,01.11.08.03,20.59.59.900
143,01.11.09.03.03,25.11.23.119
144,01.11.10,25.11.10.000
145,01.01.16.05,10.13.14.700
146,01.01.16.99,10.89.19.290
147,01.02.02.01.01,32.50.13.190
148,01.02.02.01.02,32.50.13.190
149,01.02.02.04.04.01,32.50.13.190
150,01.02.02.04.04.02,32.50.13.190
151,01.02.02.04.04.03,32.50.13.190
152,01.02.02.06.02.03,32.50.13.190
153,01.02.02.06.02.04,32.50.13.190
154,01.02.02.15.01,32.50.13.190
155,01.02.02.17.04,32.50.13.110
156,01.02.02.18,32.50.13.190
157,01.02.02.18.02,32.50.22.127
158,01.12.01.22,28.92.12.110
159,01.02.03.01.07,14.19.12.190
160,01.02.03.01.11,14.19.12.190
161,01.02.03.01.12,14.12.30.120
162,01.02.03.01.13,14.19.12.190
163,01.02.03.02,15.20.32.190
164,01.12.04.03,28.30.21.110
165,01.13.01.01.02.01,26.20.15.000
166,01.13.01.02.01,26.20.11.110
167,01.13.02.07,26.20.15.000
168,01.13.04.01,26.20.16
169,01.13.04.01.01,26.40.34.110
170,01.13.04.02.01.04,26.20.16.120
171,01.13.04.02.01.07,26.20.16.120
172,01.13.04.03.01,26.20.16.150
173,01.13.04.04.03,26.20.16.170
174,01.13.04.99.01,26.20.16.190
175,01.13.05.05,26.20.21.120
176,01.13.06.07,26.20.15.000
177,01.13.07.03,27.12.40.000
178,01.13.07.05.01,27.11.50.120
179,01.13.07.05.01.01,27.11.50.120
180,01.13.07.05.03,27.12.31.000
181,01.13.07.05.07,27.20.23
182,01.13.08.04,26.30.11.110
183,01.13.09.03.05,26.30.11.110
184,01.13.09.03.08,26.30.30.000
185,01.13.09.05.01,26.30.11.150
186,01.13.09.99.02,26.30.11.110
187,01.13.11.03.04.01,26.70.14.190
188,01.13.11.03.04.04,26.70.17
189,01.13.11.03.04.05,26.70.15.000
190,01.13.11.03.05.01,26.40.32
191,01.13.11.03.05.05.02,26.40.31.120
192,01.13.11.03.05.05.03,26.40.31.190
193,01.13.11.03.05.07,26.40.42.120
